date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
2020-02-25,Brazil,SP,São Paulo/SP,3550308,0,0,1,1,0.00000,0.00816,0.00000
2020-02-25,Brazil,TOTAL,TOTAL,0,0,0,1,1,0.00000,0.00048,0.00000
2020-02-28,Brazil,SP,São Paulo/SP,3550308,0,0,1,2,0.00000,0.01632,0.00000
2020-02-28,Brazil,TOTAL,TOTAL,0,0,0,1,2,0.00000,0.00095,0.00000
2020-03-04,Brazil,SP,São Paulo/SP,3550308,0,0,1,3,0.00000,0.02449,0.00000
2020-03-04,Brazil,TOTAL,TOTAL,0,0,0,1,3,0.00000,0.00143,0.00000
2020-03-05,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1,1,0.00000,0.54226,0.00000
2020-03-05,Brazil,SP,São Paulo/SP,3550308,0,0,3,6,0.00000,0.04897,0.00000
2020-03-05,Brazil,TOTAL,TOTAL,0,0,0,4,7,0.00000,0.00333,0.00000
2020-03-06,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,1,1,0.00000,0.02488,0.00000
2020-03-06,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,4,4,0.00000,0.00871,0.00000
2020-03-06,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,1,0.00000,0.16264,0.00000
2020-03-06,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,1,0.00000,0.01488,0.00000
2020-03-06,Brazil,TOTAL,TOTAL,0,0,0,7,14,0.00000,0.00666,0.00000
2020-03-07,Brazil,DF,Brasília/DF,5300108,0,0,1,1,0.00000,0.03316,0.00000
2020-03-07,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,2,0.00000,0.32527,0.00000
2020-03-07,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1,1,0.00000,0.71712,0.00000
2020-03-07,Brazil,SP,São Paulo/SP,3550308,0,0,6,12,0.00000,0.09794,0.00000
2020-03-07,Brazil,TOTAL,TOTAL,0,0,0,9,19,0.00000,0.00904,0.00000
2020-03-08,Brazil,MG,Divinópolis/MG,3122306,0,0,1,1,0.00000,0.41976,0.00000
2020-03-08,Brazil,AL,Maceió/AL,2704302,0,0,1,1,0.00000,0.09814,0.00000
2020-03-08,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,2,0.00000,0.02977,0.00000
2020-03-08,Brazil,SP,São Paulo/SP,3550308,0,0,3,15,0.00000,0.12243,0.00000
2020-03-08,Brazil,TOTAL,TOTAL,0,0,0,6,25,0.00000,0.01190,0.00000
2020-03-10,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,5,5,0.00000,0.02896,0.00000
2020-03-10,Brazil,RS,Campo Bom/RS,4303905,0,0,1,1,0.00000,1.49898,0.00000
2020-03-10,Brazil,SP,São Paulo/SP,3550308,0,0,3,18,0.00000,0.14691,0.00000
2020-03-10,Brazil,TOTAL,TOTAL,0,0,0,9,34,0.00000,0.01618,0.00000
2020-03-11,Brazil,DF,Brasília/DF,5300108,0,0,1,2,0.00000,0.06633,0.00000
2020-03-11,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,5,10,0.00000,0.05792,0.00000
2020-03-11,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,3,0.00000,0.48791,0.00000
2020-03-11,Brazil,RS,Porto Alegre/RS,4314902,0,0,1,1,0.00000,0.06740,0.00000
2020-03-11,Brazil,SP,São Paulo/SP,3550308,0,0,11,29,0.00000,0.23670,0.00000
2020-03-11,Brazil,TOTAL,TOTAL,0,0,0,19,53,0.00000,0.02522,0.00000
2020-03-12,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,-9,1,0.00000,0.00579,0.00000
2020-03-12,Brazil,RS,Caxias do Sul/RS,4305108,0,0,1,1,0.00000,0.19573,0.00000
2020-03-12,Brazil,PR,Cianorte/PR,4105508,0,0,1,1,0.00000,1.21036,0.00000
2020-03-12,Brazil,PR,Curitiba/PR,4106902,0,0,5,5,0.00000,0.25865,0.00000
2020-03-12,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,1,1,0.00000,0.51473,0.00000
2020-03-12,Brazil,SC,Florianópolis/SC,4205407,0,0,2,2,0.00000,0.39922,0.00000
2020-03-12,Brazil,GO,Goiânia/GO,5208707,0,0,2,2,0.00000,0.13192,0.00000
2020-03-12,Brazil,MG,Ipatinga/MG,3131307,0,0,1,1,0.00000,0.37964,0.00000
2020-03-12,Brazil,RN,Natal/RN,2408102,0,0,1,1,0.00000,0.11311,0.00000
2020-03-12,Brazil,RJ,Niterói/RJ,3303302,0,0,1,1,0.00000,0.19471,0.00000
2020-03-12,Brazil,RS,Porto Alegre/RS,4314902,0,0,1,2,0.00000,0.13479,0.00000
2020-03-12,Brazil,PE,Recife/PE,2611606,0,0,2,2,0.00000,0.12153,0.00000
2020-03-12,Brazil,GO,Rio Verde/GO,5218805,0,0,1,1,0.00000,0.42436,0.00000
2020-03-12,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,11,13,0.00000,0.19348,0.00000
2020-03-12,Brazil,SP,São Paulo/SP,3550308,0,0,15,44,0.00000,0.35912,0.00000
2020-03-12,Brazil,TOTAL,TOTAL,0,0,0,36,89,0.00000,0.04235,0.00000
2020-03-13,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,10,10,0.00000,0.02178,0.00000
2020-03-13,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,4,0.00000,0.65054,0.00000
2020-03-13,Brazil,SC,Joinville/SC,4209102,0,0,1,1,0.00000,0.16936,0.00000
2020-03-13,Brazil,AM,Manaus/AM,1302603,0,0,2,2,0.00000,0.09163,0.00000
2020-03-13,Brazil,BA,Salvador/BA,2927408,0,0,3,3,0.00000,0.10444,0.00000
2020-03-13,Brazil,TOTAL,TOTAL,0,0,0,17,106,0.00000,0.05044,0.00000
2020-03-14,Brazil,SE,Aracaju/SE,2800308,0,0,1,1,0.00000,0.15220,0.00000
2020-03-14,Brazil,DF,Brasília/DF,5300108,0,0,6,8,0.00000,0.26532,0.00000
2020-03-14,Brazil,PE,CASO SEM LOCALIZAÇÃO DEFINIDA/PE,26,0,0,1,1,0.00000,0.01046,0.00000
2020-03-14,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,6,7,0.00000,0.04054,0.00000
2020-03-14,Brazil,RS,CASO SEM LOCALIZAÇÃO DEFINIDA/RS,43,0,0,2,2,0.00000,0.01758,0.00000
2020-03-14,Brazil,MS,Campo Grande/MS,5002704,0,0,2,2,0.00000,0.22322,0.00000
2020-03-14,Brazil,SP,Carapicuíba/SP,3510609,0,0,1,1,0.00000,0.24942,0.00000
2020-03-14,Brazil,GO,Goiânia/GO,5208707,0,0,1,3,0.00000,0.19787,0.00000
2020-03-14,Brazil,MG,Juiz de Fora/MG,3136702,0,0,1,1,0.00000,0.17579,0.00000
2020-03-14,Brazil,MG,Patrocínio/MG,3148103,0,0,1,1,0.00000,1.10184,0.00000
2020-03-14,Brazil,SC,Rancho Queimado/SC,4214300,0,0,2,2,0.00000,69.49270,0.00000
2020-03-14,Brazil,PE,Recife/PE,2611606,0,0,4,6,0.00000,0.36458,0.00000
2020-03-14,Brazil,SP,São Paulo/SP,3550308,0,0,18,62,0.00000,0.50604,0.00000
2020-03-14,Brazil,TOTAL,TOTAL,0,0,0,46,142,0.00000,0.06757,0.00000
2020-03-15,Brazil,DF,Brasília/DF,5300108,0,0,6,14,0.00000,0.46430,0.00000
2020-03-15,Brazil,SC,Braço do Norte/SC,4202800,0,0,1,1,0.00000,2.98954,0.00000
2020-03-15,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,71,71,0.00000,0.15462,0.00000
2020-03-15,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,5,0.00000,0.81318,0.00000
2020-03-15,Brazil,PE,Recife/PE,2611606,0,0,1,7,0.00000,0.42534,0.00000
2020-03-15,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,9,22,0.00000,0.32743,0.00000
2020-03-15,Brazil,BA,Salvador/BA,2927408,0,0,1,4,0.00000,0.13926,0.00000
2020-03-15,Brazil,TOTAL,TOTAL,0,0,0,90,225,0.00000,0.10707,0.00000
